Year,Month,Text,,,,,,,,,
2011,12,"hollywood siren charlize theron on love, the single life, and her oscar-worthy new role | hpv and me a compelling case for the controversial vaccine / helping haiti one stitch at a time donna karan and former president bill clinton on a mission / the ultimate holiday gift guide 100 perfect presents at every price | sparkle! festive beauty romantic evenings glittering fashion",,,,,,,,,
2010,12,"spider-man rocks! bono & taymor’s $60 million broadway musical | angelina jolie raising six, kids, playing strong women, and seducing johnny depp in the tourist | pill-popping nation which supplements really work? | crowning moments colin firth his oscar-worthy royal role tom ford the king of glamour returns | gift guide 75+ fabulous finds at every price | my husband, the hostage a newlywed’s harrowing taliban tale | holiday fashion shiny shoes and bags sparkling metallic makeup daringly sexy evening looks plus the perfect party dress (for under $250!)",,,,,,,,,
2009,12,"overstressed and undersexed the latest fatigue syndromecelebrate! 130 ingenious holiday ideaschic gifts, sensible to sensational 6 stunning party A remembrance of IRVING PENN, VOGUE'S GREATEST ARTISTLooks from Beauty's ProsPerfect Hair Color at Homecate blanchett takes center stage ""every night is dangerous""+ a fashion Tribute to the ArtsEXPECT THE UNEXPECTEDA Pregnant Reporter on Afghanistan's Front LinesHillary clinton On Year One and How Obama Got Her to Say Yes",,,,,,,,,
2008,12,"EXTREME BEAUTY The three-minute freeze for younger-looking skin JENNIFER ANISTON
REALITY CHIC 181 EXCEPTIONAL GIFTS FROM $5 TO $500
SMART INVESTMENTS 24K FASHION & BEAUTY
SPICY COLORS TO HEAT YOU UP THROUGH WINTER
KNOCKOUT JEWELRY TO WEAR WITH EVERYTHING
""WHAT ANGELINA DID WAS VERY UNCOOL""
HOLIDAY ROMANCE
THE GREATEST LOVE STORY EVER
THE WORLD'S PRETTIEST PORTRAIT
AMERICA'S MOST GLAMOROUS BEDROOM",,,,,,,,,
2007,12,"Holiday issue Life of the party Penélope Cruz at home in Madrid

DIY Dermatology Most promising home treatments

Present Perfect 250 Dazzling and disarming gifts for everyone on your list

Party tricks The secrets of Hollywood hair & makeup Cocktail dresses that don't cost a fortune",,,,,,,,,
2006,12,"INDULGE!
125 Glorious Gifts
VOGUE'S ULTIMATE HOLIDAY GUIDE
+ Downsized Giving: When $100 Is Enough

SOLVING CHRONIC PAIN
The Mind-Body Connection

Winter Blooms
FANTASY FROCKS & LUSTROUS EVENING LOOKS
PLUS Perfect Party Makeup

NICOLE KIDMAN
HAPPINESS & HEARTBREAK

Miracle Child
ONE COUPLE'S JOURNEY THROUGH PREGNANCY HELL",,,,,,,,,
2005,12,"NAUGHTY OR NICE?
100 GLORIOUS GIFTS FOR EVERY PERSON ON YOUR LIST
WONDERLAND!
ULTIMATE FASHION FAIRY TALE
LACY EVENING DRESSES & INTOXICATING COCKTAIL ACCESSORIES
PLUS OH, MY!
KEIRA KNIGHTLEY
Stars in Vogue’s Wizard Of Oz
Portfolio by Annie Leibovitz
LIGHTS, CAMERA, ACTION!
BEHIND THE SCENES OF Narnia, Memoirs Of a Geisha, and Brokeback Mountain
ROSES TO ROASTS
HOLIDAY ENTERTAINING HOW-TO",,,,,,,,,
2004,12,DREAM GIFTS FLYING HIGH Cate Blanchett Takes Off with Leonardo DiCaprio in The Aviator SIMPLY SEXY EYELINER 101 MASTERING BEAUTY'S TOUGHEST TRICK THE NEW ROMANTIC PARTY DRESS SUFFERING IN SILENCE Why Women & Children Are India's Most Tragic AIDS Victims FAT-BURNING OR FICTION? THE COCONUT DIET A MOTHER'S PRIDE AND FEAR FOR HER REPORTER SON IN IRAQ,,,,,,,,,
2003,12,"ONE OF A KIND

Renee Zellweger

ELEGANT STYLE, KOOKY CHARM & OSCAR HOPES

TEH HEROINES AMONG US

EXTRAORDINARY WOMEN OF 2003

Hillary Rodham Clinton
Dixie Chicks
Mariane Pearl
Renee Fleming
Laura Hillenbrand
The Stars of Thirteen 

Andrea Jung
Marissa Jaret Winokur

HOLIDAY SHOPPING ACROSS AMERICA

100+ GLORIOUS GIFTS

PACKING FOR PARADISE

EVERYTHING YOU NEED FOR A ROMANTIC GETAWAY

ALICE IN WONDERLAND
A FASHION FAIRY TALE

THE WOMEN OF AL QAEDA

Uncovering a Hidden Threat",,,,,,,,,
2002,12,"Gifted 175 perfect presents for everyone on your list

Big-night fashion & beauty party-ready glamour in a flash

Solid gold Halle Berry Hollywood hero and Bond's new bombshell

Plus Pierce Brosnan The sexiest 007 ever?

Nancy Reagan A profile in courage

All I want to eat for Christmas Jeffrey Steingarten's holiday gift guide

Galliano's triumph The collection that dazzled the world",,,,,,,,,
