Year,Month,Text,,,,,,,,,
2011,7,"emma watson life after harry potter | inside the most glamorous party of the year j.lo, beyonce, rihanna, tom & gisele... | shattered a writer discovers her family’s secret past | beauty news reversing the body’s signs of aging | must-have fall looks plus the only bag you’ll need this season",,,,,,,,,
2010,7,"wake-up call the link between cell phones and cancer | eat, pray, dance a night out with oprah and lady gaga | beauty breakthrough next generation sunscreens | french bombshell marion cotillard ignites hollywood | fall fashion preview from lean lines to dangerous curves plus red lips with everything | up in the air the return of high hair ",,,,,,,,,
2009,7,"STEAL OF THE MONTH!FALL FASHION NEWSHOW TO SPLURGE & WHERE TO SAVEARE YOU READY TO CUT YOUR HAIR?The Coolest Crop of the Season""IT'S NOT HARD FOR ME TO FALL IN  LOVE""SIENNA MILLERON BOYFRIENDS, BLOCKBUSTERS, AND BROADWAYSTARTING OVERFACING A FUTURE WITHOUT CREDIT, ONE WOMAN REINVENTS HER LIFEFINE PRINT A newspaper Heiress battles to Save Her Family's LegacySUMMER SURVIVAL neon nails, stealth tans & the best beach body",,,,,,,,,
2008,7,"Fall Collections Preview

EXCLUSIVE
Nicole Kidman & Hugh Jackman in the Highly Anticipated Epic AUSTRALIA

PLUS
PREGNANCY UPDATE!

Julia Roberts and George Clooney
HOST THE FASHION PARTY OF THE YEAR

+75 Best-Dressed Beauties

THE PRICE IS RIGHT
Strategies for Shopping the Trends on a Budget

COST-EFFECTIVE BEAUTY AND FITNESS

BUY NOW, WEAR FOREVER
Clean, Lean Clothes That Are Always in Style",,,,,,,,,
2007,7,"SUMMER SEDUCTION

The Return of Megawatt Beauty
SULTRY LIPS,
HIGH-SHINE HAIR

20 SUREFIRE WAYS TO HONE & TONE YOUR BODY

How to Look Cool When it's Hot

3 STYLE-SETTERS REVEAL THEIR FASHION SECRETS

THE MIGHTY PENN

Celebrating America's Greatest Living Photographer

Once Burned Twice Shy

One woman's Tale of Tanning Abstinence

""NO REGRETS""
Elizabeth Edwards
on Motherhood, Fighting Cancer, and the Race for the white house

Supermanny!

WHY A MALE BABY-SITTER IS THIS SEASON'S CHICEST ACCESSORY",,,,,,,,,
2006,7,"Cool Girl
Kate Hudson's Effortless Chic (And Teflon Marriage)

Dancing With the Stars
Sarah Jessica, J.LO, Drew, Sienna, Gisele & Charlize at the PARTY OF THE YEAR.

HIGH ANXIETY
Stop Worry Yourself Sick

Barefoot Beauty
The ultimate D.I.Y. Pedicure

Our Bodies, Herself
The Abortion Battle's Fearless Warrior

SHAPE-SHIFTING FASHION
Fall's New Silhouettes
The Bustle, the Bell, the Big Shoulder.",,,,,,,,,
2005,7,"Fall's perfect 10 The looks that define the season

Kate Winslet Just says no to plastic surgery, Hollywood's weight hysteria & putting work before family

Catch the wave Summer's best ab workout

Hate it, love it The radical collections that change how women dress

Another 40 pounds Andre Leon Talley shares his diet diary with Oprah

Dangerous liaison A politician's illegitimate daughter tells all",,,,,,,,,
2004,7,"Naughty vs. Nice
Why showing skin is no longer in


Can you turn back the clock on sun damage? 

Kirsten Dunst
reinvents Hollywood glamour

The Body Fantastic
America's greatest athletes chase their Olympic Dreams
By Annie Leibovitz

Fall Fashion Preview
48 pages of the season's key looks
seductive evening dresses, luxe Minimalism, dazzlingly demure day",,,,,,,,,
2003,7,"Demi Moore

FROM HOLLYWOOD TO IDAHO & BACK AGAIN

FALL FASHION PREVIEW

POLISHED , POP, OR PUNK 

144 PERFECT PICKS

ACCESSORIES ALERT

11 Buys That will Change Your Look Now!

A WONDERFUL LIFE?

SOMETIMES A HIGH-POWERED JOB ISN'T ENOUGH

WHEN BAGHDAD FELL

THE WOMEN WHO GOT THE STORY LIKE NO ONE ELSE

BREAKING THE BEAUTY BARRIER

The New Faces That Redefine Supermodel",,,,,,,,,
2002,7,"The New American Dress Code

WHAT REAL WOMEN DARE TO WEAR

Plus, a Century of Fashion Rule Makers, Breakers & Icons

Marlene Dietrich
Grace Kelly
Jackie kennedy
Iman
Princess Diana
Madonna
Oprah 
Julia Roberts
Kate Moss
Britney
Venus Williams
Cameron Diaz

THE ANCHOR WHO'S CHANGING THE WAY WE WATCH THE NEWS

First Look at Fall

FABULOUS STYLE & MOTHERHOOD

How Top Models Manage Beauty and the Baby

Jude Law
Actor, Heartthrob, Ideal Husband",,,,,,,,,
