Year,Month,Text,,,,,,,,,
2011,11,"fierce talent rooney mara the girl with the dragon tattoo + emma stone, beauty’s new face | aerin lauder: an heiress strikes out on her own / the next big names in american fashion / incredible legends elizabeth taylor diane keaton annie leibovitz / women and heart disease the warning signs you shouldn’t ignore | update your style romantic dresses to wear now the season’s most stunning coats & jackets / colorful prints that brighten up winter - and won’t break the bank",,,,,,,,,
2010,11,fashion’s night out the biggest fashion show ever | a breath of fresh air anne hathaway “I’m too trusting” | hold the salt? what you need to know | caught in the crossfire a palestinian orphan’s life in jerusalem | natural beauty that delivers | fall romance effortless day dressing seductive country tweeds top designers tackle accessible eco style | sitting pretty how to stop back pain,,,,,,,,,
2009,11,"Fashion's night out a star-studded shopping celebrationNINE behind the scenes of the blockbuster movie musical with nicole, marian, penelope & kateit's not easy being green an urban apartment makeovera dandy in survival school guerrilla gardeners take the city a fashionista on the farmthe perfect weekend wardrobeflorals and plaids for the country tribal prints for town + skin care's miracle antiaging apple",,,,,,,,,
2008,11,"SHOPPING THE SEASON ON A BUDGET 
Three Experts Comb the Collections

Reese Revealed 
New Look, New Man, New Lease on Life

CHIC DESTINATIONS 
for the Wallet-Conscious

4 GENERATIONS OF BIDEN BEAUTIES 
All The Vice President's Women
DAMAGE CONTROL
Fixing Fried Hair
Coast-to-Coast Cuts
+
WAIST MANAGEMENT
Toning and Sculpting Your Core

Brighten Up!
Surprising Shapes, Pick-Me-Up Pop Colors, Fairy-Tale Florals to Buy Now and Wear Through Summer",,,,,,,,,
2007,11,"Oscar Winner 
Jennifer Connelly
Channels a mother's worst fear

Age-Proof your face!
The Ultimate Checklist for great skin 
& younger-looking eyes

Closet Classics
7 Easy Pieces 
From the wear-everywhere Flat
to the perfect tee 
Plus Open Season 
25 Fabulous looks for now through spring",,,,,,,,,
2006,11,"The Cost of Looking Good
WHERE TO SAVE, WHERE TO SPLURGE
20 Real Women Rate Today's Best Basics
Can You PREDICT YOUR MEDICAL FUTURE with a Single Swab?

Cate Blanchett Balances 5 Movie Roles, 2 Children, 1 Intimate Marriage, and a 10,000 Mile Journey Home

Warm Up Winter!
RECHARGE YOUR LOOK with SUPERBRIGHT Accessories, Pretty PRINTED FROCKS, and Sky-High COCKTAIL MINIS",,,,,,,,,
2005,11,"STAND BY YOUR MAN

Reese 

STARS IN A GREAT AMERICAN LOVE STORY

PRETTY ROMANTIC 

FASHION'S SWEET NEW LOOKS

YOUNG, TALENTED, AMBITIOUS

Ten New Designers to Watch & Wear

AMERICAN WOMEN SPEAK OUT

WAHT REALLY WORKS FOR WORK

IMPROVE YOUR MEMORY

The latest in Brain Science

ONE WOMAN HEADS HOME TO NEW ORLEANS",,,,,,,,,
2004,11,"DARK BEAUTY

The Mysterious Allure of 

Jennifer Connelly

A TOUCH OF ROMANCE

100+ PRETTY PIECES TO UPDATE YOU FALL WARDROBE

ART & COMMERCE

THE WORLD'S GREATEST CLOTHES IN NEW YORK'S MOST STUNNING MUSEUM

A FASHION INSIDER'S GUIDE TO BARGAIN SHOPPING

BALD TRUTH

ONE WOMAN'S TALE OF COPING WITH CHEMO

CLASS OF 2004

The Ten Designers

Who will change the Way You Dress

COMEDY CENTRAL

At Home with the Seinfelds",,,,,,,,,
2003,11,"DROP-DEAD GORGEOUS
Uma Thurman
Tarantino's Leading Lady on Being Strong, Sexy & Single

FASHION'S FABULOUS NEW MIX
Street Style from Austin to Budapest
Party Looks from Luau to Gala
Suits from Park Avenue to Poolside

VOGUE'S FASHION SUPERSTARS
An Inside/Outside, Backstage/Onstage Look at the Chicest Celebrities & the Designers Who Dress Them

EXTREME MAKEOVER
A BEAUTY SCHOOL IN AFGHANISTAN IS CHANGING WOMEN'S LIVES

PLASTIC SURGEONS VS. DERMATOLOGISTS
Whom Should You Trust with Your Skin?

A STRANGER AMONG US
The Mommy/Nanny Wars",,,,,,,,,
2002,11,"LET'S DANCE!

Fashion Celebrates American Music

ISN'T IT ROMANTIC?

THE SEASON'S MOST SWEETLY SEDUCTIVE LOOKS

RUNWAY TO REALITY

How to wear Dior, Versace, and Dolce if you are not J.Lo

RALPH LAUREN 

Three Decades of Showstopping Style

JAZZ BABIES

On the set of Chicago with Catherine Zeta-Jones & Renee Zellweger

Baz Luhrmann's
Broadway Gamble

Behind the Beehive with the cast of Hairspray

THE VH1/ VOGUE FASHION AWARD WINNERS",,,,,,,,,
2001,11,"63 Perfect Winter Coats for every occasion, at every price
James Gandolfini working class hero
Thanksgiving we’re not talking turkey 
VH1 / Vogue fashion award winners 
Reality Chic High style basics you want right now 
Britney Spears Madonna’s Heir apparent 
American Fashion waves the flag",,,,,,,,,
2000,11,"THE VH1/VOGUE FASHION AWARD WINNERS!

FASHION
THE NEW CITY CHIC

THE BEST GETAWAY CHOICES

LEATHER
Look Of The Moment

Another Model Bobs Her Hair

Ian Schrager's Most Affordable Housing

HELMUT NEWTON'S
Lifetime Of Style & Desire

How Not To Make Espresso
By Jeffrey Steingarten

who is the model of the year?
",,,,,,,,,
1999,11,"Millennium Special
A CENTURY OF VOGUE
FASHION
OF THE
PAST
PRESENT
& FUTURE

plus
WOMEN
by Annie
Leibovitz",,,,,,,,,
1998,11,"Warming up to winter

Bright, white & chic

The 50 most fashionable gifts
Enter Vogue's $500,000 star diamond sweepstakes
See official rules inside. No purchase necessary.

Smile!
How to buy cover-girl teeth

The perfect touch
modern diamonds
flashes of fur
the sexy sport shoe
shimmering bags",,,,,,,,,
1997,11,"princess diana
what she meant to fashion
winter forecast
how to buy a fur
bohemian nights
dress grays
resort report
why men are the new pinups
brad pitt shows off
richard gere speaks out
image & success
is it time to reinvent your look?",,,,,,,,,
1996,11,"WINTER WEEKENDS
25 Perfect Pieces

fashion & beauty
What works at what age

coat check
Long & Luxurious

after dark
Slim & Sexy Dresses",,,,,,,,,
1995,11,"fitness & fashion special
winter white dressing on and off the slopes
michael douglas on the fence
caroline kennedy on the record
evening's icy pastels
america's 55 best personal trainers
the anti-cellulite machine & other high-tech wonders
plus the shoe that set the world shopping",,,,,,,,,
1994,11,"Brilliant New Ways to Look at Night

The Body Is Back
How Do You Measure Up?

Talk Dirty To Me:
Sallie Tisdale's Day in a Sex Shop

Four-Star Turkey
By Jeffrey Steingarten

Whom Do Women Really Dress For?

PLUS
Glenn Close

Soft wear:
coats warm up

Hardware:
accessories strike gold",,,,,,,,,
1993,11,meg ryan and dennis quaid: the secrets of their success thanksgiving with a southern accent by jeffrey steingarten color comes back: a first look at resort are you dressing your age? by charles gandee warming up to winter: 70 looks to beat the cold,,,,,,,,,
1992,11,"exclusive cindy crawford and richard gere on marriage, meditation, and mtv the cookie-cutter candidates wives: was this any way to win votes? on the set: coppola’s dracula spike lee’s malcolm x talking turkey the best ways to cook the bird by jeffery steingarten the complete wrap on winter dressing",,,,,,,,,
