Year,Month,Text,,,,,,,,,
2011,10,"michelle williams talks about motherhood, moving on, & playing the sexiest icon of all time, marilyn monroe plus joan didion ryan gosling angela bassett samuel l. jackson simon cowell’s x factor | distracted? forgetful? anxious? adult adhd or normal life? | the most powerful woman on the internet | what price chic fashion’s smartest investments starting at $50",,,,,,,,,
2010,10,looking great as you age what fillers can do for your body | 50+ charming looks for fall plus perfect weekend style at a surprising price | drink and drama nora ephron on her mother | the forgotten four your most underworked and overlooked muscles | indie to a=list carey mulligan the rise of a dazzling new star | cuisine for a cure? the healing power of food,,,,,,,,,
2009,10,"Mammography update how soon to screenMichelle WilliamsTriumph after tragedy""I Feel Hopeful and Grateful""FALL'S FINISHING TOUCHESover-the-Knee Boots Over-the-Top Nails Lots of Hats!+ WHY YOUR DRESS T NEEDS LONG SLEEVESMULTITASKING FASHION3 Pieces x3ways=9 Fabulous LooksEXCLUSIVETHE QUEEN MOTHERHer Romantic Early YearsInside tips from a hot hollywood style-setter",,,,,,,,,
2008,10,"BEAUTY & BRAINS
RACHEL WEISZ
WHY SHE'S ONE OF HOLLYWOOD'S SMARTEST STARS
BEAUTIFUL FALL
ROMANTIC LOOK-CHANGERS TO BY NOW, WEAR FOREVER
LIFE AFTER BREAST CANCER
NOT JUST SURVIVING BUT THRIVING
ENDURING LOVE
HOW A MARRIAGE OVERCAME CLASS & RACE DIFFERENCES
THE OBAMAS’ SECRET WEAPON
(HINT: SHE'S NOT OPRAH)
THE FUTURE OF YOUNGER-LOOKING SKIN 
NEEDLE-FREE BOTOX",,,,,,,,,
2007,10,"At Home on the Range
Charlize Theron
ON ROLES, WRANGLING & HER REALLY PRIVATE LIFE

FANTASTIC FALL FASHION
Flirty Furs, Statement Boots, Technicolor Tights

PLUS AHEAD OF THE CURVE
The Designer Who Flatters Every Figure

BREAST CANCER UPDATE
The Latest Advances in Detection & the Most Promising Treatments

Soldier in The Family
CONFRONTING A SON'S DECISION TO ENLIST",,,,,,,,,
2006,10,"Simply stunning Sandra Bullock Her glamorous grown-up life

Mothers in the Middle East speak out

Beauty & Health alert How the environment affects your looks & your life

Smart, Sexy Fall Surprising city style, super short evening dresses, power platforms, and the return of black & gold",,,,,,,,,
2005,10,"Personal treatment A new test for breast cancer

Secrets of the super brides Three stylish newlyweds reveal all

Midnight miracles Beauty solutions that work while you sleep

Great lengths The new lust for long hair

""I have something that's so real"" Gwyneth Paltrow on marriage, motherhood and making a comeback",,,,,,,,,
2004,10,"BRONZED BOMBSHELL
Charlize Theron
Shakes Off the Stereotypes & Writes Her Own Ticket to Fame

100+
GREAT CHOICES

sexy, tailored tweeds, flirty skirts & flourishes of fur

WHY WOMEN DON'T VOTE
AND WHY THEY SHOULD

SHARPER IMAGE
The Latest Breakthrough in Eye Surgery

FROM CRUSADING LAWYER TO V.P. CANDIDATE,
John Edwards
TAKES ON HIS TOUGHEST CASE

THINK BIG
Supersize Jackets, Coats, Sweaters & Wraps

HOW LOW-CARB HAS KILLED THE FOOD INDUSTRY",,,,,,,,,
2003,10,"VOGUE LOVE STORY Gwyneth On Her Father, the Boyfriend & Starring in the Century's Most Tragic Romance ROE VS. WADE Are We Losing the Right to Choose? CHANGE YOUR BROWS CHANGE YOUR FACE ""HONEY I FORGOT THE KIDS"" Do You Have Adult A.D.D.? FREESTYLE FASHION IN HARM'S WAY A Mother in the War Zone 37 Women Who Break All the Rules 26 Accessories to Wake Up Your Wardrobe 67 Wear It Your Way Weekend Basics",,,,,,,,,
2002,10,"Sexy in the City
PLANNING THE PERFECT FALL WARDROBE
93 SENSATIONAL LOOKS
RAGING HORMONES
The Battle Over HRT
YOUR BEST SHAPE EVER
How Yoga Can Change Your Body (And Your Life)
ROCK-GODDESS HAIR
GETTING THE SEASON’S COOLEST CUT
THE WOMAN WHO BECAME A MAN
The Latest Novel from the Author of The Virgin Suicides
NO DOUBT ABOUT IT
The Girl’s Got Style!
Gwen Stefani Shines in Dior Couture
THE NEW OLD THING
How to Rethink, Revamp, Recycle Your Clothes",,,,,,,,,
