Year,Month,Text,,,,,,,,,
2011,9,"something for everyone! 758 pages the fall fashion extravaganza | ten years later a 9/11 survivor looks back | made in china the explosive rise of a style superpower | how to wear color on your face, on your body | exclusive kate moss an inside look at the most romantic wedding of the year",,,,,,,,,
2010,9,fashion’s big night out stars! shopping! parties! | what to wear now 726 pages of sumptuous fall fashion at every price | engulfed! living with the oil spill | moms on the front line and the children left behind | “ I have a new focus” halle berry on how motherhood changed her life | the best restaurant in the world,,,,,,,,,
2009,9,"fashion's night outa global shopping spree (and you're invited)584 Pages of STYLISH STEALS & SMART SPLURGES+Beauty Secrets of the SeasonSKIN CARE ANDMAKEUP FOR LESSExclusiveHIS CHEATING HEART Jenny Sanford's Brave StandFALL FASHION FUN!'40s Is the Look Red Is the Color Boots & Suits Are BackCharlize Theron ""I always reveal Too Much""ROGER FEDERERGreatest Tennis Player of All Time andHUGH JACKMANBroadway's Sexiest StarIn the REAL September Issue!",,,,,,,,,
2008,9,"Value-conscious Chic
When to Spend, Where to Save

798 Pages of BRILLIANT FALL FASHION
73 WILDLY ROMANTIC DRESSES FOR EVENING
92 STATEMENT-MAKING ACCESSORIES
76 CLEAN, LEAN LOOKS FOR DAY

KEIRA KNIGHTLEY
Fashion Star,
Pirate Queen,
History's Sexiest Duchess

FITNESS PHENOMENON
Lose Inches in Minutes?
Testing the Miracle Machine
+Yoga Coast to Coast",,,,,,,,,
2007,9,"EXTRA-EXTRA LARGE

Our Biggest Issue Ever
840 pages of FEARLESS FASHION

SIENNA MILLER 
Fashion's
Feistiest Icon

A MARRIAGE OF EQUALS
Michelle Obama, Perfect Political Partner

Magician of Makeup
THE MOST POWERFUL WOMAN IN BEAUTY",,,,,,,,,
2006,9,"FALL                          EXTRAVAGANTA                   Style Secrets of 
Fashion                        Marie Antoinette
Rules!                         KIRSTEN
754                            DUNST
PAGES                          AS THE
Romantic Dresses,              TEEN QUEEN 
Gilded Coats,                  WHO ROCKED
Sexy Sweaters,                 VERSAILLES
Cozy Tweeds                    New Orleans
EROTIC                         One Year Later
INTELLIGENCE                   DRAMATIC 
Recharge                       NEW 
Your Sexy Life                 SILHOUETTES 
  Are You an Hourglass, a Triangle     
                               or a Lean Line? Real Women
                   Decode Fashion's Fresh Shapes",,,,,,,,,
2005,9,"MAKE A STATEMENT
800 PAGES OF FALL'S MOST UNFORGETTABLE CLOTHES

LABEL LOGIC
Why Clothes Cost What They Do

Eat More to Weigh Less
THE TEN-WEEK TOTAL-BODY MAKEOVER

SARAH JESSICA PARKER
Life After Sex and the City

SAVING MY SON
A Mother's Fight for Her Teenager's Life",,,,,,,,,
2004,9,"20 REAL WOMEN SHOP THE FALL RUNWAYS THE GREATEST LOVE STORY EVER TOLD NICOLE KIDMAN MAKES HISTORY IN A TWO-MINUTE MOVIE FALL FASHION SPECTACULAR OUR BIGGEST ISSUE EVER! IS THE NEXT CANCER HOPE ALREADY IN YOUR MEDICINE CABINET? The Most Beautiful House in Europe 832 PAGES PLUS STATEMENTS JEWELS, MAGICAL MAKEUP, COUTURE CUISINE, CELEBRITIES VS. SUPERMODELS & MUCH, MUCH MORE...",,,,,,,,,
2003,9,"FASHION'S BRIGHTEST STAR

Nicole Kidman

On Life as an Icon

740 PAGES OF 
POLISHED CHIC

The sleekest New Suits

The Prettiest Cocktail Dresses

The Skirt Controversy (Choose Your Hemlines!)

And the Bombshell Accessories

STRESS & SKIN 

CALM DOWN TO CLEAR UP

IS YOUR HAIR HIP?

One Little Snip Can Change Your Life

HOW TO SUCCEED IN FASHION

10 Stylish Women,

10 Stylish Careers


HUGH JACKMAN

Who Knew Wolverine Could Dance?

KATIE HOLMES

Breaking Out of the Small-Screen Box",,,,,,,,,
2002,9,"Dazzle! Sparkle! Shine!
750 PAGES OF FALL FASHION´S ALL-OUT GLAMOUR
plus
THE 100 WOMEN WHO DEFINE ULTIMATE STYLE

THE MOMMY DIARIES
Confessions of a Superwoman Who Tried to Do It All

ONE YEAR LATER
New Yorkers Who Made a Difference 
A portfolio by Annie Leibovitz

Kate Hudson
HOLLYWOOD ROYALTY, ROCK WIFE & THE NICEST GIRL IN TOWN 

AT HOME WITH A POP PRINCESS 
A Starry Night with Valentino
SEX AND THE STILETTO by Helmut Newton",,,,,,,,,
